benchmark,proc,build,run,sim_ticks,sim_seconds,host_seconds
me_ready/AI-Nordics_bert-large-swedish-cased_start18_end22_4__forward__op4__me,ME,OK,TIMEOUT,-,-,1800
me_ready/Aleksandar_electra-srb-ner-setimes_start18_end22_4__forward__op4__me,ME,OK,TIMEOUT,-,-,1800
me_ready/face-parsing_start133_end138_21__forward__op4__me,ME,OK,TIMEOUT,-,-,1800
me_ready/face-parsing_start1995_end1999_61__forward__op4__me,ME,OK,TIMEOUT,-,-,1800
me_ready/face-parsing_start381_end386_41__forward__op4__me,ME,OK,TIMEOUT,-,-,1800
me_ready/face-parsing_start5_end10_1__forward__op4__me,ME,OK,TIMEOUT,-,-,1800
me_ready/me_matmul_00002_e9b965e9,ME,OK,PASS,7488831000,0.007489,129
me_ready/me_matmul_00006_5787ce6a,ME,OK,PASS,7281740500,0.007282,108
me_ready/me_matmul_00019_126f430c,ME,OK,PANIC,-,-,18
me_ready/me_matmul_00020_56d63a85,ME,OK,PASS,1778628500,0.001779,34
me_ready/me_matmul_00022_0ba3890c,ME,OK,PANIC,-,-,46
me_ready/me_matmul_00025_8f6c12cb,ME,OK,PANIC,-,-,28
me_ready/me_matmul_00029_5de3bdd6,ME,OK,PANIC,-,-,20
me_ready/me_matmul_00031_a1299a88,ME,OK,PANIC,-,-,16
me_ready/me_matmul_00033_bbd53831,ME,OK,PANIC,-,-,22
me_ready/me_matmul_00035_c51f7d7b,ME,OK,PANIC,-,-,62
me_ready/me_matmul_00036_d7ffd0cf,ME,OK,PASS,26042530500,0.026043,346
me_ready/me_matmul_00037_dd16e10c,ME,OK,PANIC,-,-,21
me_ready/me_matmul_00042_573d1e1e,ME,OK,RUN-FAIL,-,-,1750
me_ready/me_matmul_00045_b92ed9e1,ME,OK,PANIC,-,-,19
me_ready/me_matmul_00047_971615cc,ME,OK,PANIC,-,-,30
me_ready/me_matmul_00049_289dcd94,ME,OK,PANIC,-,-,43
me_ready/me_matmul_00053_e7dce803,ME,OK,PANIC,-,-,329
me_ready/me_matmul_00055_72575f07,ME,OK,PANIC,-,-,17
me_ready/me_matmul_00057_9ff7c1cd,ME,OK,PANIC,-,-,98
me_ready/me_matmul_00058_0464fc53,ME,OK,TIMEOUT,-,-,1800
me_ready/me_matmul_00059_8cd45d3c,ME,OK,PANIC,-,-,35
me_ready/me_matmul_00060_b1812265,ME,OK,PANIC,-,-,73
me_ready/me_matmul_00061_8939896e,ME,OK,PASS,1856192500,0.001856,46
me_ready/me_matmul_00063_308f0e53,ME,OK,PANIC,-,-,151
me_ready/me_matmul_00064_5b3de8f2,ME,OK,PASS,6222473000,0.006222,117
me_ready/me_matmul_00065_51fd997d,ME,OK,PANIC,-,-,19
me_ready/me_matmul_00068_057eaf50,ME,OK,PANIC,-,-,14
me_ready/me_matmul_00069_6f689b18,ME,OK,PANIC,-,-,16
me_ready/me_matmul_00071_3f7dc91a,ME,OK,PANIC,-,-,42
me_ready/me_matmul_00075_1c7d0e58,ME,OK,PANIC,-,-,29
me_ready/me_matmul_00079_35a7f0d6,ME,OK,PANIC,-,-,53
