benchmark,mode,dtype,acc,M,K,N,mnk,ticks,log_ticks,host_seconds
me_matmul_00287_3845d8be,f16->f32,f16,f32,64,64,192,786432,513410500.0,20.056586278081543,48.0
me_matmul_00649_3a1a7e2b,f16->f16,f16,f16,64,128,128,1048576,392193500.0,19.787265898412233,21.0
me_matmul_00281_17f4a19f,f16->f32,f16,f32,320,64,64,1310720,715429000.0,20.38839292073025,28.0
me_matmul_00483_cc6fcec0,f16->f32,f16,f32,128,64,192,1572864,811286000.0,20.51413120096101,29.0
me_matmul_00629_e6fe19fd,f16->f16,f16,f16,192,128,64,1572864,441846000.0,19.906471963041323,42.0
me_matmul_00710_50209450,f16->f16,f16,f16,192,64,128,1572864,564226500.0,20.150966324589024,27.0
me_matmul_00364_5543d507,f16->f32,f16,f32,256,64,128,2097152,1023008000.0,20.746013144022175,35.0
me_matmul_00383_e5fbecaf,f16->f32,f16,f32,128,256,64,2097152,512435500.0,20.054685407398065,24.0
me_matmul_00396_dd664b62,f16->f32,f16,f32,512,64,64,2097152,1043991500.0,20.76631718461126,36.0
me_matmul_00505_d66b8eee,f16->f32,f16,f32,64,128,256,2097152,686198500.0,20.346677502434616,29.0
me_matmul_00385_36f3286e,f16->f32,f16,f32,128,384,64,3145728,563792000.0,20.15019594711474,48.0
me_matmul_00442_96ac8766,f16->f32,f16,f32,128,128,192,3145728,831150000.0,20.538320841945744,31.0
me_matmul_00573_d7e03827,f16->f16,f16,f16,128,384,64,3145728,479282000.0,19.987799708657292,25.0
me_matmul_00351_750577fb,f16->f32,f16,f32,832,64,64,3407872,1568693000.0,21.173508625522892,46.0
me_matmul_00276_452421e9,f16->f32,f16,f32,448,64,128,3670016,1629438500.0,21.211501313891116,56.0
me_matmul_00692_aa74f6c3,f16->f16,f16,f16,64,896,64,3670016,526414500.0,20.081599483188715,32.0
me_matmul_00288_8b09cf6c,f16->f32,f16,f32,960,64,64,3932160,1778545000.0,21.29906145125366,50.0
me_matmul_00507_bcd60d51,f16->f32,f16,f32,192,64,320,3932160,1702629000.0,21.25543936404258,66.0
me_matmul_00124_8bab5239,f8E5M2->f32,f8E5M2,f32,256,128,128,4194304,988155500.0,20.711350631991813,63.0
me_matmul_00393_f3903e1e,f16->f32,f16,f32,128,256,128,4194304,706497500.0,20.375830221512178,30.0
me_matmul_00633_3021c812,f16->f16,f16,f16,512,64,128,4194304,1229595000.0,20.92995068381735,73.0
me_matmul_00702_76725185,f16->f16,f16,f16,512,128,64,4194304,761341000.0,20.450591910073904,34.0
me_matmul_00765_018b68cb,f16->f16,f16,f16,128,128,256,4194304,779186000.0,20.473760342985397,36.0
me_matmul_00306_e715d566,f16->f32,f16,f32,192,128,192,4718592,1168532500.0,20.879014524992428,38.0
me_matmul_00407_b1722548,f16->f32,f16,f32,192,192,128,4718592,882124000.0,20.597843193658438,44.0
me_matmul_00712_1e89229e,f16->f16,f16,f16,576,128,64,4718592,830026000.0,20.536967583565495,34.0
me_matmul_00780_8b68a11d,f16->f16,f16,f16,64,576,128,4718592,582936000.0,20.183587961273393,26.0
me_matmul_00427_b7abda6e,f16->f32,f16,f32,64,1216,64,4980736,650993000.0,20.29400944742686,56.0
me_matmul_00386_78be1e17,f16->f32,f16,f32,256,320,64,5242880,793105500.0,20.49146680984226,33.0
me_matmul_00479_c2e1ed18,f16->f32,f16,f32,128,640,64,5242880,666612500.0,20.317719475537288,28.0
me_matmul_00544_39b3204a,f16->f16,f16,f16,640,128,64,5242880,898597500.0,20.616345772490966,34.0
me_matmul_00681_3f176304,f16->f16,f16,f16,128,128,320,5242880,906400500.0,20.62499181931075,34.0
me_matmul_00737_514c9f06,f16->f16,f16,f16,128,640,64,5242880,580456000.0,20.179324559502543,27.0
me_matmul_00268_fdb85898,f16->f32,f16,f32,704,64,128,5767168,2442538000.0,21.61630349959028,70.0
me_matmul_00313_4c2613e1,f16->f32,f16,f32,64,1408,64,5767168,704202000.0,20.372575804783438,29.0
me_matmul_00697_25d73f92,f16->f16,f16,f16,128,704,64,5767168,605710500.0,20.221912707115433,29.0
me_matmul_00763_5b44bc6c,f16->f16,f16,f16,704,64,128,5767168,1610909500.0,21.200064763275282,62.0
me_matmul_00164_64e3f53e,f8E5M2->f32,f8E5M2,f32,128,384,128,6291456,724149500.0,20.400508420746217,29.0
me_matmul_00243_67e9a364,f8E5M2->f32,f8E5M2,f32,384,128,128,6291456,1367695000.0,21.036392678072634,51.0
me_matmul_00453_9ba63e1c,f16->f32,f16,f32,128,64,768,6291456,2602879000.0,21.679883977053183,95.0
me_matmul_00508_755ec99f,f16->f32,f16,f32,64,128,768,6291456,1599787000.0,21.193136332330226,55.0
me_matmul_00680_ca2d55c0,f16->f16,f16,f16,64,64,1600,6553600,1898592500.0,21.364378659125016,69.0
me_matmul_00693_0175996e,f16->f16,f16,f16,1600,64,64,6553600,1725872000.0,21.268998266950366,69.0
me_matmul_00341_0311a660,f16->f32,f16,f32,192,64,576,7077888,2869454500.0,21.777387778966,73.0
me_matmul_00532_74bc0f6b,f16->f16,f16,f16,64,192,576,7077888,979349500.0,20.70239913372219,35.0
me_matmul_00613_56639753,f16->f16,f16,f16,192,192,192,7077888,921969000.0,20.642022158395964,32.0
me_matmul_00286_874e2ee5,f16->f32,f16,f32,128,64,896,7340032,3000867500.0,21.822167250480565,82.0
me_matmul_00568_c24dd10a,f16->f16,f16,f16,64,128,896,7340032,1246277000.0,20.943426544000623,43.0
me_matmul_00720_d4c272a9,f16->f16,f16,f16,128,320,192,7864320,760309500.0,20.44923614518834,33.0
me_matmul_00624_3c067f71,f16->f16,f16,f16,64,64,1984,8126464,2302225000.0,21.55714188356445,63.0
me_matmul_00044_441f0d61,f8E5M2->f32,f8E5M2,f32,128,512,128,8388608,777424000.0,20.47149644804376,59.0
me_matmul_00103_b1f529dc,f8E5M2->f32,f8E5M2,f32,128,128,512,8388608,1768070000.0,21.29315439313827,71.0
