benchmark,mode,dtype,acc,M,K,N,mnk,run,host_seconds,note
me_matmul_00325_f7699c26,f16->f32,f16,f32,64,128,64,524288,OVERFLOW,39,"sim_ticks=18446744073709551616 >= 2**64 (counter wraparound, not a measurement)"
me_matmul_00410_5d3a58ad,f16->f32,f16,f32,640,64,3072,125829120,PANIC,382,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00366_f0b23f41,f16->f32,f16,f32,1536,64,1984,195035136,PANIC,460,Runtime Error at MESI_Two_Level-L1cache.sm:326: Invalid Ru
me_matmul_00384_3f7e1416,f16->f32,f16,f32,1344,64,2560,220200960,PANIC,512,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00032_fe1ef4f8,f8E5M2->f32,f8E5M2,f32,2048,128,1024,268435456,PANIC,452,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00201_60b57a61,f8E5M2->f32,f8E5M2,f32,1024,128,2048,268435456,PANIC,377,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00458_1f30ce48,f16->f32,f16,f32,1728,64,2624,290193408,TIMEOUT,14403,killed after 14400s guard (likely livelock)
me_matmul_00601_b2883eca,f16->f16,f16,f16,3776,64,1216,293863424,PANIC,399,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00136_a8fb3488,f8E5M2->f32,f8E5M2,f32,2176,128,1152,320864256,PANIC,388,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00317_ea6bf6cb,f16->f32,f16,f32,3648,128,704,328728576,PANIC,601,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00771_bac6eb5d,f16->f16,f16,f16,2816,64,2240,403701760,PANIC,501,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00259_74f27660,f8E5M2->f32,f8E5M2,f32,1920,128,1664,408944640,TIMEOUT,14402,killed after 14400s guard (likely livelock)
